data_execucao_simulada,data_base_previsao,horizonte_dias,previsao_classe,probabilidades,preco_inicial,preco_final,retorno_real,classe_real
2025-09-13,2025-09-12,90,Cai muito,"{""Cai"": 0.033443364751749444, ""Cai muito"": 0.9154877955568868, ""Na mesma"": 0.01516977302418301, ""Sobe"": 0.015693089781159648, ""Sobe muito"": 0.02020597688602118}",,,,
2025-09-14,2025-09-12,1,Na mesma,"{""Cai"": 0.16055128507576424, ""Cai muito"": 0.136611565329117, ""Na mesma"": 0.5034267456018963, ""Sobe"": 0.1682650672866658, ""Sobe muito"": 0.031145336706556653}",2583.75,2591.0,0.002805999032414127,Na mesma
2025-09-14,2025-09-12,5,Cai muito,"{""Cai"": 0.08962371963477649, ""Cai muito"": 0.5753110170879168, ""Na mesma"": 0.2726895583459819, ""Sobe"": 0.055597566260291206, ""Sobe muito"": 0.006778138671033699}",,,,
2025-09-14,2025-09-12,30,Cai muito,"{""Cai"": 0.012663693577889235, ""Cai muito"": 0.8434370800036538, ""Na mesma"": 0.02711269587508121, ""Sobe"": 0.08501429701563165, ""Sobe muito"": 0.03177223352774397}",,,,
2025-09-14,2025-09-12,90,Cai muito,"{""Cai"": 0.033443364751749444, ""Cai muito"": 0.9154877955568868, ""Na mesma"": 0.01516977302418301, ""Sobe"": 0.015693089781159648, ""Sobe muito"": 0.02020597688602118}",,,,
2025-09-15,2025-09-12,1,Na mesma,"{""Cai"": 0.16055128507576424, ""Cai muito"": 0.136611565329117, ""Na mesma"": 0.5034267456018963, ""Sobe"": 0.1682650672866658, ""Sobe muito"": 0.031145336706556653}",2583.75,2591.0,0.002805999032414127,Na mesma
2025-09-15,2025-09-12,5,Cai muito,"{""Cai"": 0.08962371963477649, ""Cai muito"": 0.5753110170879168, ""Na mesma"": 0.2726895583459819, ""Sobe"": 0.055597566260291206, ""Sobe muito"": 0.006778138671033699}",,,,
2025-09-15,2025-09-12,30,Cai muito,"{""Cai"": 0.012663693577889235, ""Cai muito"": 0.8434370800036538, ""Na mesma"": 0.02711269587508121, ""Sobe"": 0.08501429701563165, ""Sobe muito"": 0.03177223352774397}",,,,
2025-09-15,2025-09-12,90,Cai muito,"{""Cai"": 0.033443364751749444, ""Cai muito"": 0.9154877955568868, ""Na mesma"": 0.01516977302418301, ""Sobe"": 0.015693089781159648, ""Sobe muito"": 0.02020597688602118}",,,,
2025-09-16,2025-09-15,1,Na mesma,"{""Cai"": 0.1635093981858415, ""Cai muito"": 0.10531929796479364, ""Na mesma"": 0.5158347375424782, ""Sobe"": 0.18368661068294823, ""Sobe muito"": 0.0316499556239384}",,,,
2025-09-16,2025-09-15,5,Cai muito,"{""Cai"": 0.18200829176653516, ""Cai muito"": 0.45464665382061037, ""Na mesma"": 0.28757811936867944, ""Sobe"": 0.06901253706184184, ""Sobe muito"": 0.006754397982333217}",,,,
2025-09-16,2025-09-15,30,Cai muito,"{""Cai"": 0.012785290283582301, ""Cai muito"": 0.8438183916378839, ""Na mesma"": 0.03776399522265755, ""Sobe"": 0.08337265414628313, ""Sobe muito"": 0.022259668709593266}",,,,
2025-09-16,2025-09-15,90,Cai muito,"{""Cai"": 0.048674840433108685, ""Cai muito"": 0.8869175739250942, ""Na mesma"": 0.020393332687061096, ""Sobe"": 0.01982237914531297, ""Sobe muito"": 0.02419187380942333}",,,,
